TestcaseId,TestcaseType,Module,Description
,Positive,USSD Last Transfer Status CP2P,To verify that Last Transfer request is successful when all mandatory details are provided
,Negative,USSD Last Transfer Status CP2P,To verify that Last Transfer request is not successful when PIN is blank
,Negative,USSD Last Transfer Status CP2P,To verify that Last Transfer request is not successful when value 0000 is provided in PIN Tag
,Negative,USSD Last Transfer Status CP2P,To verify that Last Transfer request is not successful when MSISDN is blank
,Negative,USSD Last Transfer Status CP2P,To verify that Last Transfer request is not successful when PIN is invalid
